2.49796e-7,1.37544e-7,9.68911e-8,1.57526e-7,1.27954e-7,7.22068e-8,5.61388e-8,7.46928e-8,1.14327e-7,6.47624e-8,7.83442e-8,1.0232e-7
6.57043e-6,5.53767e-6,4.75531e-6,2.1972e-6,3.30433e-6,2.69236e-6,1.98394e-6,1.57906e-6,3.72838e-6,3.03927e-6,1.71463e-6,2.13623e-6
5.80135e-5,6.52422e-5,6.50666e-5,4.87832e-5,3.96975e-5,3.01541e-5,2.26644e-5,1.89138e-5,1.69321e-5,3.1681e-5,3.62373e-5,3.0242e-5
0.00164573,0.00243049,0.00315575,0.00310068,0.00229423,0.00138172,0.00100076,0.000973868,0.000909052,0.000717971,0.000607249,0.000840353
0.0103561,0.0117971,0.0196202,0.0288621,0.034162,0.0265301,0.0202749,0.0148545,0.0159288,0.0221246,0.0276008,0.0158632
0.0153595,0.0151816,0.0135456,0.0165533,0.0296772,0.0230213,0.010368,0.00859398,0.00544387,0.0134538,0.0115712,0.0129775
0.00696997,0.0198539,0.0217983,0.0159878,0.0305227,0.0129541,0.0117522,0.0131513,0.0142195,0.0196898,0.0164341,0.0128702
0.0112254,0.0155438,0.0139241,0.0105475,0.0196725,0.0153808,0.0123429,0.0103123,0.00979153,0.0178306,0.0123367,0.00871559
0.0114429,0.0112967,0.00798802,0.00669405,0.0200743,0.0150294,0.010776,0.00960547,0.00723818,0.0113592,0.0131069,0.00775896
0.00808994,0.00824885,0.00685737,0.00673438,0.0131626,0.00791123,0.00450146,0.00517321,0.007295,0.0114313,0.0130062,0.0111586
0.0062631,0.00458087,0.00526422,0.00772661,0.0121544,0.0121253,0.00720632,0.00365157,0.00376249,0.00753001,0.00635437,0.00529055
0.00601707,0.00665904,0.00618818,0.0052309,0.00554687,0.00577584,0.00603142,0.00567666,0.0045111,0.00732958,0.00894566,0.00583658
0.00555743,0.00531776,0.00650443,0.00573527,0.00767096,0.00681263,0.00376152,0.00301204,0.00523004,0.00669627,0.00624815,0.00510865
0.0144646,0.0158192,0.0157475,0.0127105,0.0151098,0.0120117,0.012992,0.0169768,0.0250476,0.0279014,0.0217723,0.016396
0.0706157,0.0347638,0.0113116,0.017747,0.0238849,0.0296518,0.029814,0.037067,0.0364224,0.04756,0.0196359,0.0598037
